gene,cluster,p_val,avg_logFC,pct.1,pct.2,p_val_adj
Pdzk1ip1,Deiters_1st/2nd_row,0,2.043009049,0.371,0.033,0
Serpine2,Deiters_1st/2nd_row,0,1.978323013,0.844,0.104,0
S100a1,Deiters_1st/2nd_row,0,1.883195791,1,0.503,0
Hes5,Deiters_1st/2nd_row,0,1.835592505,0.884,0.162,0
Ppp1r2,Deiters_1st/2nd_row,5.37E-291,1.821157054,0.987,0.637,1.24E-286
Lfng,Deiters_1st/2nd_row,0,1.80903074,0.915,0.094,0
Fzd9,Deiters_1st/2nd_row,0,1.682342907,0.906,0.182,0
Rflnb,Deiters_1st/2nd_row,0,1.652877793,0.855,0.102,0
Emid1,Deiters_1st/2nd_row,0,1.600319864,0.908,0.174,0
Igfbp3,Deiters_1st/2nd_row,0,1.600074585,0.96,0.312,0
Socs2,Deiters_1st/2nd_row,0,1.553323074,0.998,0.392,0
4930523C07Rik,Deiters_1st/2nd_row,0,1.483911628,0.764,0.084,0
Fam159b,Deiters_1st/2nd_row,0,1.460965142,0.659,0.054,0
2310022B05Rik,Deiters_1st/2nd_row,0,1.415624345,0.837,0.224,0
Car14,Deiters_1st/2nd_row,0,1.413303203,0.598,0.029,0
Cep41,Deiters_1st/2nd_row,0,1.376995197,0.654,0.054,0
Igfbp5,Deiters_1st/2nd_row,3.19E-219,1.374577158,0.94,0.516,7.38E-215
Nrcam,Deiters_1st/2nd_row,0,1.363305832,0.801,0.12,0
Cox4i2,Deiters_1st/2nd_row,0,1.362969748,0.672,0.117,0
Smagp,Deiters_1st/2nd_row,0,1.352332683,0.612,0.037,0
Agr3,Deiters_1st/2nd_row,4.52E-174,1.327959481,0.486,0.108,1.05E-169
Lockd,Deiters_1st/2nd_row,0,1.322155662,0.612,0.087,0
Rab3b,Deiters_1st/2nd_row,0,1.288751539,0.533,0.058,0
Tm4sf1,Deiters_1st/2nd_row,2.05E-187,1.264366962,0.909,0.443,4.74E-183
Mansc4,Deiters_1st/2nd_row,0,1.254236915,0.553,0.015,0
Phlda1,Deiters_1st/2nd_row,1.33E-227,1.192554521,0.895,0.357,3.07E-223
Fgfr3,Deiters_1st/2nd_row,0,1.182971933,0.69,0.061,0
Fkbp1a,Deiters_1st/2nd_row,2.94E-250,1.166847414,1,0.848,6.80E-246
Gstm1,Deiters_1st/2nd_row,1.66E-138,1.149056918,0.647,0.233,3.84E-134
Uchl1,Deiters_1st/2nd_row,9.20E-213,1.146882304,0.937,0.52,2.13E-208
Dbi,Deiters_1st/2nd_row,2.82E-122,1.130069084,0.951,0.776,6.53E-118
Cxcl12,Deiters_1st/2nd_row,1.78E-307,1.117780678,0.683,0.129,4.11E-303
Rora,Deiters_1st/2nd_row,0,1.116302353,0.607,0.097,0
Zbtb20,Deiters_1st/2nd_row,2.29E-181,1.099571086,0.935,0.555,5.29E-177
Prss23,Deiters_1st/2nd_row,1.39E-180,1.099515383,0.832,0.325,3.22E-176
Hey1,Deiters_1st/2nd_row,2.78E-201,1.085756828,0.942,0.469,6.43E-197
Rassf10,Deiters_1st/2nd_row,6.74E-238,1.071631037,0.723,0.184,1.56E-233
Eno1,Deiters_1st/2nd_row,1.07E-180,1.070931011,0.947,0.621,2.47E-176
Aqp11,Deiters_1st/2nd_row,5.45E-190,1.057808346,0.846,0.358,1.26E-185
Egfl6,Deiters_1st/2nd_row,0,1.055506939,0.534,0.039,0
Rtn1,Deiters_1st/2nd_row,3.49E-201,1.04479622,0.804,0.269,8.08E-197
Eva1a,Deiters_1st/2nd_row,0,1.034269045,0.558,0.069,0
Anxa5,Deiters_1st/2nd_row,4.15E-149,1.029731681,0.957,0.705,9.60E-145
Ramp3,Deiters_1st/2nd_row,0,1.023387948,0.632,0.084,0
Arrdc4,Deiters_1st/2nd_row,1.66E-163,1.015241265,0.788,0.315,3.84E-159
Hs3st1,Deiters_1st/2nd_row,4.29E-289,0.998947093,0.632,0.111,9.93E-285
Lsamp,Deiters_1st/2nd_row,9.82E-217,0.969870925,0.71,0.193,2.27E-212
Prox1,Deiters_1st/2nd_row,0,0.966878423,0.516,0.025,0
Thbs1,Deiters_1st/2nd_row,2.03E-154,0.964311635,0.754,0.274,4.70E-150
Nav2,Deiters_1st/2nd_row,0,0.962041153,0.569,0.083,0
Acot1,Deiters_1st/2nd_row,6.66E-141,0.955194394,0.895,0.508,1.54E-136
Gdpd1,Deiters_1st/2nd_row,4.31E-161,0.949624051,0.764,0.313,9.97E-157
Ntf3,Deiters_1st/2nd_row,1.10E-169,0.94029458,0.746,0.253,2.54E-165
Tnnt1,Deiters_1st/2nd_row,0,0.923451403,0.469,0.053,0
Sox2,Deiters_1st/2nd_row,1.39E-183,0.914125127,0.745,0.237,3.21E-179
Gm266,Deiters_1st/2nd_row,5.98E-292,0.907690141,0.476,0.061,1.38E-287
Proser2,Deiters_1st/2nd_row,0,0.906815226,0.527,0.071,0
Gabarapl1,Deiters_1st/2nd_row,5.31E-140,0.873517527,0.783,0.344,1.23E-135
Ppp2r2b,Deiters_1st/2nd_row,3.17E-235,0.87246329,0.601,0.12,7.34E-231
Mgst3,Deiters_1st/2nd_row,7.67E-145,0.869715153,0.982,0.784,1.77E-140
Rnd2,Deiters_1st/2nd_row,5.57E-154,0.865422171,0.663,0.221,1.29E-149
Cyp26b1,Deiters_1st/2nd_row,1.68E-180,0.848954274,0.616,0.162,3.89E-176
Bace2,Deiters_1st/2nd_row,0,0.843742877,0.417,0.017,0
Cdh1,Deiters_1st/2nd_row,3.68E-145,0.836482888,0.661,0.228,8.52E-141
S100b,Deiters_1st/2nd_row,1.36E-228,0.824602483,0.399,0.053,3.14E-224
Got2,Deiters_1st/2nd_row,1.10E-126,0.815759654,0.708,0.299,2.55E-122
Ninj1,Deiters_1st/2nd_row,2.50E-133,0.807050382,0.933,0.67,5.79E-129
Dync1i1,Deiters_1st/2nd_row,0,0.801353947,0.424,0.018,0
Inhba,Deiters_1st/2nd_row,1.07E-256,0.797667356,0.382,0.043,2.49E-252
Tuba1a,Deiters_1st/2nd_row,6.40E-66,0.792440731,0.928,0.84,1.48E-61
Gng12,Deiters_1st/2nd_row,1.25E-184,0.779702074,0.525,0.115,2.90E-180
Rcn1,Deiters_1st/2nd_row,5.90E-126,0.776067326,0.937,0.673,1.37E-121
Ckb,Deiters_1st/2nd_row,3.26E-146,0.772277815,0.975,0.773,7.54E-142
Frmd4a,Deiters_1st/2nd_row,9.59E-231,0.771425178,0.48,0.079,2.22E-226
Fblim1,Deiters_1st/2nd_row,3.81E-154,0.767289206,0.623,0.186,8.81E-150
Itih5,Deiters_1st/2nd_row,1.59E-131,0.763869614,0.643,0.216,3.69E-127
Me2,Deiters_1st/2nd_row,1.05E-105,0.758670016,0.491,0.162,2.44E-101
Clstn1,Deiters_1st/2nd_row,3.48E-115,0.752211378,0.77,0.367,8.05E-111
Slitrk6,Deiters_1st/2nd_row,3.40E-224,0.751880575,0.48,0.079,7.87E-220
Tst,Deiters_1st/2nd_row,2.93E-107,0.747201572,0.542,0.186,6.78E-103
Fzd4,Deiters_1st/2nd_row,3.93E-169,0.740563125,0.491,0.106,9.09E-165
Id4,Deiters_1st/2nd_row,1.13E-80,0.740259804,0.848,0.549,2.61E-76
Emb,Deiters_1st/2nd_row,9.12E-171,0.737240305,0.507,0.114,2.11E-166
S100a13,Deiters_1st/2nd_row,3.21E-138,0.736966585,0.609,0.183,7.43E-134
Ppp1cc,Deiters_1st/2nd_row,8.35E-99,0.727208152,0.793,0.424,1.93E-94
Kremen1,Deiters_1st/2nd_row,2.64E-174,0.722557821,0.527,0.12,6.11E-170
Enah,Deiters_1st/2nd_row,3.78E-94,0.717833045,0.634,0.275,8.76E-90
Ldhb,Deiters_1st/2nd_row,8.03E-118,0.706027175,0.982,0.954,1.86E-113
Hspa2,Deiters_1st/2nd_row,2.08E-95,0.701434676,0.688,0.308,4.81E-91
Gata3,Deiters_1st/2nd_row,6.52E-93,0.700818413,0.848,0.532,1.51E-88
Lor,Deiters_1st/2nd_row,3.96E-102,0.699147723,0.457,0.138,9.15E-98
Itga6,Deiters_1st/2nd_row,8.82E-150,0.698667413,0.509,0.126,2.04E-145
Nupr1,Deiters_1st/2nd_row,1.54E-192,0.690983364,0.315,0.038,3.56E-188
Ttyh1,Deiters_1st/2nd_row,3.23E-84,0.689413931,0.634,0.299,7.48E-80
Sipa1l1,Deiters_1st/2nd_row,6.59E-89,0.688826554,0.851,0.525,1.53E-84
Skp1a,Deiters_1st/2nd_row,2.94E-122,0.687941276,0.975,0.797,6.81E-118
Sox21,Deiters_1st/2nd_row,6.40E-124,0.687590422,0.54,0.165,1.48E-119
Krt8,Deiters_1st/2nd_row,5.97E-88,0.686677703,0.966,0.769,1.38E-83
Socs6,Deiters_1st/2nd_row,1.28E-108,0.673815877,0.572,0.201,2.96E-104
Tagln2,Deiters_1st/2nd_row,3.60E-166,0.671505823,0.371,0.062,8.33E-162
Rpia,Deiters_1st/2nd_row,1.20E-132,0.668528034,0.466,0.119,2.77E-128
Dgat2,Deiters_1st/2nd_row,4.62E-167,0.664733846,0.337,0.052,1.07E-162
Gpr37,Deiters_1st/2nd_row,2.87E-164,0.66292809,0.397,0.072,6.63E-160
